"x1","y1","x2","y2","length","digit1","digit2","digit3","digit4","digit5","digit6"
"19","3","47","29","3","2","10","4","-1","-1","-1"
"35","3","56","35","2","1","10","-1","-1","-1","-1"
"136","18","310","191","3","3","2","7","-1","-1","-1"
"14","1","25","17","2","2","4","-1","-1","-1","-1"
"74","17","132","70","2","4","6","-1","-1","-1","-1"
"65","15","160","63","3","8","1","7","-1","-1","-1"
"58","17","110","53","3","1","10","3","-1","-1","-1"
"47","7","75","54","2","9","1","-1","-1","-1","-1"
"45","11","102","50","2","3","5","-1","-1","-1","-1"
"160","18","260","118","2","9","3","-1","-1","-1","-1"
"36","8","77","55","2","1","1","-1","-1","-1","-1"
"116","26","168","64","4","1","1","3","7","-1","-1"
"22","3","44","24","2","5","6","-1","-1","-1","-1"
"63","12","102","63","3","2","1","5","-1","-1","-1"
"45","2","82","52","2","1","1","-1","-1","-1","-1"
"35","3","54","45","1","2","-1","-1","-1","-1","-1"
"16","1","32","21","2","4","7","-1","-1","-1","-1"
"33","6","42","25","1","5","-1","-1","-1","-1","-1"
"45","6","86","54","2","3","2","-1","-1","-1","-1"
"96","23","169","90","2","4","3","-1","-1","-1","-1"
"26","3","53","30","2","2","9","-1","-1","-1","-1"
"25","6","48","28","2","5","8","-1","-1","-1","-1"
"38","6","60","36","2","9","5","-1","-1","-1","-1"
"48","4","81","52","2","1","10","-1","-1","-1","-1"
"71","14","122","54","3","5","4","2","-1","-1","-1"
"54","12","81","62","2","4","4","-1","-1","-1","-1"
"20","5","37","21","2","3","1","-1","-1","-1","-1"
"24","3","68","26","4","2","3","8","6","-1","-1"
"26","5","45","23","2","1","5","-1","-1","-1","-1"
"18","3","23","17","1","3","-1","-1","-1","-1","-1"
"28","4","52","32","2","3","3","-1","-1","-1","-1"
"34","9","51","39","2","1","8","-1","-1","-1","-1"
"22","2","35","20","2","9","8","-1","-1","-1","-1"
"53","4","130","66","3","7","3","9","-1","-1","-1"
"78","12","104","36","3","1","3","8","-1","-1","-1"
"40","11","169","92","4","1","9","2","2","-1","-1"
"38","8","70","30","2","2","2","-1","-1","-1","-1"
"49","7","81","39","2","7","4","-1","-1","-1","-1"
"35","6","72","38","2","4","5","-1","-1","-1","-1"
"36","6","65","44","2","6","10","-1","-1","-1","-1"
"34","6","54","38","1","3","-1","-1","-1","-1","-1"
"17","6","30","22","2","1","7","-1","-1","-1","-1"
"26","4","42","25","2","3","5","-1","-1","-1","-1"
"67","16","105","52","2","1","7","-1","-1","-1","-1"
"47","13","74","49","1","5","-1","-1","-1","-1","-1"
"85","19","143","87","2","1","8","-1","-1","-1","-1"
"37","6","74","40","3","1","6","4","-1","-1","-1"
"49","13","79","44","3","1","9","3","-1","-1","-1"
"35","6","70","43","2","3","5","-1","-1","-1","-1"
"40","7","70","43","2","1","7","-1","-1","-1","-1"
"54","12","86","52","2","1","2","-1","-1","-1","-1"
"127","58","167","86","4","1","10","4","4","-1","-1"
"33","5","88","45","2","1","8","-1","-1","-1","-1"
"34","6","62","40","2","3","6","-1","-1","-1","-1"
"50","7","112","48","3","1","2","10","-1","-1","-1"
"30","4","47","33","1","2","-1","-1","-1","-1","-1"
"18","0","42","23","3","1","10","9","-1","-1","-1"
"27","5","54","34","2","5","3","-1","-1","-1","-1"
"58","9","93","65","2","3","5","-1","-1","-1","-1"
"54","2","74","30","1","7","-1","-1","-1","-1","-1"
"67","12","148","89","3","1","10","4","-1","-1","-1"
"83","10","197","113","2","1","4","-1","-1","-1","-1"
"37","12","60","29","2","1","4","-1","-1","-1","-1"
"49","13","80","45","2","5","2","-1","-1","-1","-1"
"28","3","42","30","1","2","-1","-1","-1","-1","-1"
"38","10","71","39","2","3","10","-1","-1","-1","-1"
"16","1","38","19","2","6","3","-1","-1","-1","-1"
"23","8","34","28","1","9","-1","-1","-1","-1","-1"
"31","1","82","43","3","1","8","7","-1","-1","-1"
"19","1","39","24","2","1","3","-1","-1","-1","-1"
"29","4","47","34","2","1","9","-1","-1","-1","-1"
"26","1","51","27","2","3","2","-1","-1","-1","-1"
"27","11","49","26","3","5","1","3","-1","-1","-1"
"145","8","311","158","2","4","8","-1","-1","-1","-1"
"13","1","47","17","4","3","4","2","1","-1","-1"
"91","33","174","103","3","3","2","3","-1","-1","-1"
"65","20","101","60","2","5","1","-1","-1","-1","-1"
"32","7","92","29","4","1","3","5","8","-1","-1"
"21","1","31","25","2","1","7","-1","-1","-1","-1"
"25","5","35","27","1","6","-1","-1","-1","-1","-1"
"19","1","29","24","1","5","-1","-1","-1","-1","-1"
"18","3","33","20","2","6","4","-1","-1","-1","-1"
"56","8","118","66","3","1","10","8","-1","-1","-1"
"32","15","48","51","1","8","-1","-1","-1","-1","-1"
"56","16","76","67","2","1","3","-1","-1","-1","-1"
"21","5","38","22","2","6","8","-1","-1","-1","-1"
"26","4","43","25","1","4","-1","-1","-1","-1","-1"
"24","5","55","24","3","1","7","4","-1","-1","-1"
"78","8","158","87","2","9","8","-1","-1","-1","-1"
"91","13","176","113","2","4","4","-1","-1","-1","-1"
"16","2","25","16","1","9","-1","-1","-1","-1","-1"
"26","2","53","31","2","6","8","-1","-1","-1","-1"
"52","10","67","47","1","2","-1","-1","-1","-1","-1"
"50","10","87","53","2","1","10","-1","-1","-1","-1"
"60","15","101","56","2","4","6","-1","-1","-1","-1"
"21","1","48","25","2","2","8","-1","-1","-1","-1"
"18","1","30","19","1","9","-1","-1","-1","-1","-1"
"25","2","43","28","2","3","9","-1","-1","-1","-1"
"92","7","157","94","1","4","-1","-1","-1","-1","-1"
"51","13","81","38","2","4","1","-1","-1","-1","-1"
"27","3","62","31","3","1","9","5","-1","-1","-1"
"93","18","158","116","2","3","3","-1","-1","-1","-1"
"23","4","52","20","4","2","5","1","8","-1","-1"
"28","3","48","27","2","1","5","-1","-1","-1","-1"
"140","42","202","73","3","3","10","10","-1","-1","-1"
"19","3","35","20","2","4","7","-1","-1","-1","-1"
"136","35","185","63","3","2","8","6","-1","-1","-1"
"25","4","55","25","2","3","3","-1","-1","-1","-1"
"52","8","87","47","3","2","10","7","-1","-1","-1"
"30","7","45","35","2","1","9","-1","-1","-1","-1"
"18","3","32","23","1","2","-1","-1","-1","-1","-1"
"68","13","90","57","1","7","-1","-1","-1","-1","-1"
"35","9","51","37","1","6","-1","-1","-1","-1","-1"
"37","7","88","44","2","5","7","-1","-1","-1","-1"
"113","34","166","115","1","2","-1","-1","-1","-1","-1"
"28","6","65","40","2","9","1","-1","-1","-1","-1"
"49","9","83","38","3","2","10","8","-1","-1","-1"
"91","25","151","89","2","8","5","-1","-1","-1","-1"
"32","1","53","37","1","3","-1","-1","-1","-1","-1"
"148","46","209","85","3","5","6","10","-1","-1","-1"
"57","10","81","67","1","5","-1","-1","-1","-1","-1"
"45","12","101","54","3","1","7","6","-1","-1","-1"
"40","7","93","45","3","7","5","4","-1","-1","-1"
"30","8","46","23","2","1","5","-1","-1","-1","-1"
"30","8","50","33","3","2","8","2","-1","-1","-1"
"26","3","61","36","2","4","2","-1","-1","-1","-1"
"30","4","57","36","2","7","6","-1","-1","-1","-1"
"53","13","120","56","3","4","1","9","-1","-1","-1"
"31","6","49","32","2","2","1","-1","-1","-1","-1"
"17","4","30","21","2","1","1","-1","-1","-1","-1"
"31","4","58","31","2","5","9","-1","-1","-1","-1"
"28","8","67","36","3","5","6","8","-1","-1","-1"
"82","15","115","65","1","5","-1","-1","-1","-1","-1"
"125","45","192","101","3","1","5","8","-1","-1","-1"
"31","5","48","31","2","2","1","-1","-1","-1","-1"
"33","1","53","32","2","2","5","-1","-1","-1","-1"
"16","4","50","22","4","1","7","4","2","-1","-1"
"45","6","82","49","2","3","7","-1","-1","-1","-1"
"29","1","77","43","2","3","4","-1","-1","-1","-1"
"22","2","40","26","2","2","1","-1","-1","-1","-1"
"53","28","138","67","4","2","8","10","10","-1","-1"
"10","1","28","13","3","2","5","6","-1","-1","-1"
"34","8","101","59","3","1","3","10","-1","-1","-1"
"20","1","49","27","2","1","9","-1","-1","-1","-1"
"38","11","72","44","2","4","5","-1","-1","-1","-1"
"35","4","55","35","1","9","-1","-1","-1","-1","-1"
"15","3","28","15","2","2","6","-1","-1","-1","-1"
"26","5","57","27","3","1","5","9","-1","-1","-1"
"22","2","34","24","1","3","-1","-1","-1","-1","-1"
"123","24","146","109","1","1","-1","-1","-1","-1","-1"
"47","13","67","33","2","4","3","-1","-1","-1","-1"
"15","3","27","17","2","1","2","-1","-1","-1","-1"
"45","10","70","61","1","1","-1","-1","-1","-1","-1"
"23","4","45","29","3","3","1","6","-1","-1","-1"
"29","8","85","41","3","2","9","7","-1","-1","-1"
"145","34","274","190","2","2","10","-1","-1","-1","-1"
"97","4","144","42","3","3","1","8","-1","-1","-1"
"31","3","69","42","2","2","3","-1","-1","-1","-1"
"148","56","202","105","3","1","10","5","-1","-1","-1"
"69","9","117","69","3","2","4","1","-1","-1","-1"
"32","4","44","26","1","4","-1","-1","-1","-1","-1"
"28","7","46","32","2","4","9","-1","-1","-1","-1"
"223","91","253","126","2","4","9","-1","-1","-1","-1"
"118","34","223","114","3","1","1","1","-1","-1","-1"
"24","3","34","21","1","9","-1","-1","-1","-1","-1"
"42","2","88","46","3","1","8","8","-1","-1","-1"
"46","8","89","49","2","2","6","-1","-1","-1","-1"
"19","2","43","20","2","2","7","-1","-1","-1","-1"
"43","13","62","42","2","2","9","-1","-1","-1","-1"
"59","4","78","56","1","1","-1","-1","-1","-1","-1"
"32","3","45","27","1","8","-1","-1","-1","-1","-1"
"43","7","114","41","3","3","10","2","-1","-1","-1"
"63","13","144","69","3","2","8","10","-1","-1","-1"
"50","12","73","49","1","2","-1","-1","-1","-1","-1"
"21","2","36","23","2","1","8","-1","-1","-1","-1"
"82","19","170","118","3","3","2","8","-1","-1","-1"
"47","4","96","60","2","5","1","-1","-1","-1","-1"
"25","4","57","31","3","1","5","7","-1","-1","-1"
"23","4","32","23","1","2","-1","-1","-1","-1","-1"
"23","3","51","24","3","1","9","10","-1","-1","-1"
"48","14","86","56","2","6","8","-1","-1","-1","-1"
"41","10","51","32","1","2","-1","-1","-1","-1","-1"
"23","4","50","28","3","1","3","6","-1","-1","-1"
"22","5","27","21","1","1","-1","-1","-1","-1","-1"
"59","12","91","45","3","1","1","1","-1","-1","-1"
"19","5","36","20","2","7","2","-1","-1","-1","-1"
"44","5","67","47","1","3","-1","-1","-1","-1","-1"
"38","11","65","39","3","1","4","4","-1","-1","-1"
"30","8","45","32","2","1","10","-1","-1","-1","-1"
"35","9","107","42","4","1","3","5","8","-1","-1"
"44","10","64","32","2","8","4","-1","-1","-1","-1"
"39","9","78","44","3","2","1","10","-1","-1","-1"
"63","18","104","59","3","1","1","4","-1","-1","-1"
"142","45","172","76","3","1","9","3","-1","-1","-1"
"30","8","64","30","2","7","7","-1","-1","-1","-1"
"22","2","51","23","3","1","4","10","-1","-1","-1"
"127","41","166","80","2","3","9","-1","-1","-1","-1"
"15","3","28","18","2","1","5","-1","-1","-1","-1"
"23","5","50","29","2","1","5","-1","-1","-1","-1"
"28","6","60","20","4","2","3","6","3","-1","-1"
"34","8","54","38","2","1","5","-1","-1","-1","-1"
"29","8","55","31","2","3","8","-1","-1","-1","-1"
"63","16","102","60","2","5","1","-1","-1","-1","-1"
"13","1","24","17","1","2","-1","-1","-1","-1","-1"
"23","4","39","26","1","7","-1","-1","-1","-1","-1"
"30","4","49","32","2","1","10","-1","-1","-1","-1"
"24","3","41","25","2","7","8","-1","-1","-1","-1"
"70","7","142","91","2","7","6","-1","-1","-1","-1"
"-1","6","63","60","3","3","7","10","-1","-1","-1"
"35","7","58","45","2","1","9","-1","-1","-1","-1"
"30","4","65","37","2","3","5","-1","-1","-1","-1"
"55","8","119","63","2","9","3","-1","-1","-1","-1"
"31","2","68","36","2","2","8","-1","-1","-1","-1"
"80","30","118","76","2","1","1","-1","-1","-1","-1"
"45","1","111","63","2","5","6","-1","-1","-1","-1"
"51","14","70","44","1","5","-1","-1","-1","-1","-1"
"2","2","35","22","2","3","6","-1","-1","-1","-1"
"15","1","24","17","2","1","4","-1","-1","-1","-1"
"59","23","101","72","3","2","4","1","-1","-1","-1"
"46","14","72","52","2","7","1","-1","-1","-1","-1"
"27","3","83","34","4","2","1","9","10","-1","-1"
"46","7","95","55","2","7","6","-1","-1","-1","-1"
"125","26","223","116","2","5","10","-1","-1","-1","-1"
"3","9","51","65","2","2","1","-1","-1","-1","-1"
"34","12","42","36","1","6","-1","-1","-1","-1","-1"
"33","5","88","39","3","3","5","3","-1","-1","-1"
"25","1","64","33","3","2","5","5","-1","-1","-1"
"18","1","37","25","2","1","9","-1","-1","-1","-1"
"44","4","84","42","3","4","6","4","-1","-1","-1"
"31","8","49","35","1","9","-1","-1","-1","-1","-1"
"28","3","60","32","3","1","6","6","-1","-1","-1"
"27","4","61","26","2","2","5","-1","-1","-1","-1"
"26","10","55","30","3","1","7","8","-1","-1","-1"
"29","6","40","23","2","5","7","-1","-1","-1","-1"
"84","24","110","54","2","1","4","-1","-1","-1","-1"
"34","5","54","39","2","1","1","-1","-1","-1","-1"
"23","5","33","21","1","1","-1","-1","-1","-1","-1"
"22","1","41","26","2","2","9","-1","-1","-1","-1"
"21","3","42","21","2","3","7","-1","-1","-1","-1"
"142","49","167","80","3","1","1","3","-1","-1","-1"
"21","6","33","19","2","1","1","-1","-1","-1","-1"
"45","11","64","44","2","6","1","-1","-1","-1","-1"
"57","14","92","53","2","1","3","-1","-1","-1","-1"
"41","8","70","46","2","4","1","-1","-1","-1","-1"
"90","24","151","61","3","2","9","2","-1","-1","-1"
"49","16","64","47","2","1","1","-1","-1","-1","-1"
"74","17","109","64","2","1","1","-1","-1","-1","-1"
"19","5","43","22","3","6","10","8","-1","-1","-1"
"48","4","78","60","1","4","-1","-1","-1","-1","-1"
"28","2","46","30","2","7","4","-1","-1","-1","-1"
"52","2","110","50","3","1","10","4","-1","-1","-1"
"19","1","43","24","2","1","1","-1","-1","-1","-1"
"46","15","70","34","2","3","3","-1","-1","-1","-1"
"78","19","152","75","2","6","10","-1","-1","-1","-1"
"27","5","46","19","3","1","5","1","-1","-1","-1"
"26","6","44","21","2","7","9","-1","-1","-1","-1"
"85","24","118","79","1","9","-1","-1","-1","-1","-1"
"16","1","25","18","1","6","-1","-1","-1","-1","-1"
"32","6","57","39","2","5","10","-1","-1","-1","-1"
"25","4","49","26","2","2","3","-1","-1","-1","-1"
"25","5","51","33","2","1","7","-1","-1","-1","-1"
"24","6","44","22","3","1","5","3","-1","-1","-1"
"44","8","78","49","2","8","7","-1","-1","-1","-1"
"85","9","184","103","2","2","3","-1","-1","-1","-1"
"56","13","105","48","3","2","1","8","-1","-1","-1"
"45","16","71","40","3","1","2","4","-1","-1","-1"
"19","3","44","24","2","6","8","-1","-1","-1","-1"
"35","1","76","47","2","1","3","-1","-1","-1","-1"
"24","7","51","32","2","1","2","-1","-1","-1","-1"
"11","2","24","17","2","1","4","-1","-1","-1","-1"
"35","2","65","36","2","4","8","-1","-1","-1","-1"
"17","1","35","18","3","4","2","1","-1","-1","-1"
"52","9","110","60","2","2","5","-1","-1","-1","-1"
"15","1","27","18","2","4","4","-1","-1","-1","-1"
"19","1","50","29","3","1","7","1","-1","-1","-1"
"92","21","169","90","2","6","8","-1","-1","-1","-1"
"35","7","71","47","2","7","3","-1","-1","-1","-1"
"157","31","203","52","3","4","10","5","-1","-1","-1"
"26","4","46","32","2","3","1","-1","-1","-1","-1"
"59","9","108","67","2","4","1","-1","-1","-1","-1"
"40","5","113","46","3","2","6","6","-1","-1","-1"
"62","28","104","60","3","4","5","10","-1","-1","-1"
"52","3","132","69","2","3","10","-1","-1","-1","-1"
"66","18","91","46","3","1","6","6","-1","-1","-1"
"48","10","74","53","2","7","7","-1","-1","-1","-1"
"17","4","37","18","3","1","1","4","-1","-1","-1"
"58","9","91","58","2","1","1","-1","-1","-1","-1"
"37","9","88","47","2","2","3","-1","-1","-1","-1"
"28","2","36","25","1","1","-1","-1","-1","-1","-1"
"36","11","73","47","3","1","4","8","-1","-1","-1"
"38","11","67","31","4","1","6","4","8","-1","-1"
"41","9","78","50","2","1","5","-1","-1","-1","-1"
"36","4","62","28","2","5","4","-1","-1","-1","-1"
"159","62","263","135","3","1","1","10","-1","-1","-1"
"53","10","119","56","3","5","5","3","-1","-1","-1"
"66","15","132","74","2","8","2","-1","-1","-1","-1"
"27","5","51","35","2","4","3","-1","-1","-1","-1"
"100","31","212","99","3","2","8","9","-1","-1","-1"
"47","6","123","71","2","1","8","-1","-1","-1","-1"
"56","8","83","56","1","2","-1","-1","-1","-1","-1"
"41","5","125","47","2","9","9","-1","-1","-1","-1"
"44","9","57","43","1","4","-1","-1","-1","-1","-1"
"19","5","34","17","2","4","8","-1","-1","-1","-1"
"79","19","120","67","2","5","10","-1","-1","-1","-1"
"29","1","54","40","1","8","-1","-1","-1","-1","-1"
"21","5","26","16","1","2","-1","-1","-1","-1","-1"
"28","1","62","36","2","3","2","-1","-1","-1","-1"
"34","11","50","39","1","4","-1","-1","-1","-1","-1"
"50","19","64","46","1","4","-1","-1","-1","-1","-1"
"51","34","85","60","4","2","7","4","4","-1","-1"
"40","2","87","48","3","1","3","8","-1","-1","-1"
"13","1","39","16","3","7","4","10","-1","-1","-1"
"39","7","58","32","1","2","-1","-1","-1","-1","-1"
"49","10","121","66","2","5","3","-1","-1","-1","-1"
"27","6","44","27","2","2","8","-1","-1","-1","-1"
"22","3","27","22","1","1","-1","-1","-1","-1","-1"
"29","6","46","28","2","5","8","-1","-1","-1","-1"
"43","12","69","42","2","1","7","-1","-1","-1","-1"
"33","7","65","33","2","3","4","-1","-1","-1","-1"
"103","30","154","68","3","8","3","10","-1","-1","-1"
"29","6","46","32","1","6","-1","-1","-1","-1","-1"
"67","11","109","79","2","8","3","-1","-1","-1","-1"
"62","7","100","81","1","4","-1","-1","-1","-1","-1"
"43","9","78","54","2","1","5","-1","-1","-1","-1"
"19","1","40","19","2","5","6","-1","-1","-1","-1"
"36","3","77","49","2","1","6","-1","-1","-1","-1"
"37","5","72","55","2","1","1","-1","-1","-1","-1"
"35","1","47","37","1","8","-1","-1","-1","-1","-1"
"19","1","37","27","2","1","5","-1","-1","-1","-1"
"45","8","94","55","2","3","8","-1","-1","-1","-1"
"29","7","44","25","2","9","6","-1","-1","-1","-1"
"113","23","199","118","3","3","1","5","-1","-1","-1"
"73","24","92","52","2","5","1","-1","-1","-1","-1"
"43","4","81","58","1","4","-1","-1","-1","-1","-1"
"39","9","63","50","1","7","-1","-1","-1","-1","-1"
"125","27","204","132","2","3","10","-1","-1","-1","-1"
"8","1","20","13","2","2","9","-1","-1","-1","-1"
"65","23","94","46","3","1","9","1","-1","-1","-1"
"29","6","50","26","3","6","5","8","-1","-1","-1"
"43","4","83","52","2","7","2","-1","-1","-1","-1"
"66","19","107","52","3","3","5","5","-1","-1","-1"
"61","14","117","59","3","2","6","1","-1","-1","-1"
"51","5","93","62","2","4","2","-1","-1","-1","-1"
"86","17","191","101","3","9","9","5","-1","-1","-1"
"46","2","67","37","2","3","2","-1","-1","-1","-1"
"55","1","98","67","1","4","-1","-1","-1","-1","-1"
"30","4","56","35","2","5","10","-1","-1","-1","-1"
"19","2","34","21","2","2","1","-1","-1","-1","-1"
"39","6","81","51","2","5","9","-1","-1","-1","-1"
"69","15","136","60","3","8","10","10","-1","-1","-1"
"55","10","71","44","1","8","-1","-1","-1","-1","-1"
"98","22","301","96","3","1","2","9","-1","-1","-1"
"24","4","63","25","4","1","7","9","8","-1","-1"
"44","8","92","43","3","1","10","4","-1","-1","-1"
"32","4","82","36","2","5","4","-1","-1","-1","-1"
"82","15","193","108","2","6","2","-1","-1","-1","-1"
"14","1","36","20","2","2","3","-1","-1","-1","-1"
"13","1","37","17","3","1","1","6","-1","-1","-1"
"54","9","84","63","1","4","-1","-1","-1","-1","-1"
"20","2","50","29","3","1","6","5","-1","-1","-1"
"144","24","236","122","3","3","9","8","-1","-1","-1"
"208","74","260","138","2","5","5","-1","-1","-1","-1"
"47","8","91","50","3","2","7","10","-1","-1","-1"
"15","1","28","19","2","2","7","-1","-1","-1","-1"
"216","45","244","78","2","1","7","-1","-1","-1","-1"
"21","2","50","29","2","9","3","-1","-1","-1","-1"
"92","21","171","104","2","6","5","-1","-1","-1","-1"
"286","64","644","362","2","2","6","-1","-1","-1","-1"
"64","13","130","74","4","1","2","3","5","-1","-1"
"20","2","44","27","2","1","3","-1","-1","-1","-1"
"21","4","36","24","2","1","6","-1","-1","-1","-1"
"42","10","76","31","3","1","2","7","-1","-1","-1"
"66","5","124","64","2","5","2","-1","-1","-1","-1"
"116","34","193","111","2","2","8","-1","-1","-1","-1"
"42","6","72","39","2","5","6","-1","-1","-1","-1"
"40","3","64","38","2","1","2","-1","-1","-1","-1"
"27","3","83","26","4","1","5","7","9","-1","-1"
"7","1","40","22","3","2","6","4","-1","-1","-1"
"22","3","41","23","2","9","10","-1","-1","-1","-1"
"27","7","54","32","2","4","4","-1","-1","-1","-1"
"72","12","99","55","1","9","-1","-1","-1","-1","-1"
"92","22","149","99","2","1","7","-1","-1","-1","-1"
"27","5","44","30","2","4","1","-1","-1","-1","-1"
"49","6","117","66","2","3","5","-1","-1","-1","-1"
"73","19","104","77","1","3","-1","-1","-1","-1","-1"
"56","10","105","47","3","3","3","10","-1","-1","-1"
"178","41","374","179","1","4","-1","-1","-1","-1","-1"
"51","9","78","62","1","1","-1","-1","-1","-1","-1"
"20","6","35","19","2","9","3","-1","-1","-1","-1"
"35","4","60","36","2","1","2","-1","-1","-1","-1"
"59","9","75","38","1","10","-1","-1","-1","-1","-1"
"25","5","51","29","3","1","2","1","-1","-1","-1"
"46","4","106","58","2","6","3","-1","-1","-1","-1"
"24","2","40","28","2","3","7","-1","-1","-1","-1"
"34","5","62","39","2","5","8","-1","-1","-1","-1"
"54","14","99","55","2","6","7","-1","-1","-1","-1"
"54","10","95","62","2","1","7","-1","-1","-1","-1"
"40","10","80","49","3","1","9","2","-1","-1","-1"
"39","9","48","44","1","1","-1","-1","-1","-1","-1"
"16","2","28","18","2","7","8","-1","-1","-1","-1"
"55","8","109","57","2","2","2","-1","-1","-1","-1"
"32","4","70","40","2","1","10","-1","-1","-1","-1"
"22","1","68","34","3","2","1","3","-1","-1","-1"
"46","9","71","55","1","6","-1","-1","-1","-1","-1"
"104","38","143","89","2","5","3","-1","-1","-1","-1"
"32","3","62","39","2","3","10","-1","-1","-1","-1"
"98","28","176","102","3","4","4","3","-1","-1","-1"
"40","5","66","35","2","6","4","-1","-1","-1","-1"
"29","8","52","26","3","4","4","5","-1","-1","-1"
"59","11","116","60","2","5","2","-1","-1","-1","-1"
"88","28","136","68","3","1","5","6","-1","-1","-1"
"29","1","57","38","2","5","3","-1","-1","-1","-1"
"43","5","76","53","2","2","3","-1","-1","-1","-1"
"100","31","192","116","3","8","6","10","-1","-1","-1"
"25","3","47","24","3","1","10","10","-1","-1","-1"
"43","5","123","54","3","5","6","10","-1","-1","-1"
"31","5","46","40","1","1","-1","-1","-1","-1","-1"
"52","8","116","74","2","5","2","-1","-1","-1","-1"
"18","1","37","21","2","5","4","-1","-1","-1","-1"
"78","16","124","76","2","2","1","-1","-1","-1","-1"
"33","5","56","32","2","5","10","-1","-1","-1","-1"
"12","2","37","14","4","2","7","3","1","-1","-1"
"43","1","83","59","2","1","5","-1","-1","-1","-1"
"89","7","192","120","2","3","5","-1","-1","-1","-1"
"28","4","47","31","1","8","-1","-1","-1","-1","-1"
"31","5","69","44","2","2","2","-1","-1","-1","-1"
"56","11","79","51","2","2","1","-1","-1","-1","-1"
"38","1","119","49","2","5","5","-1","-1","-1","-1"
"18","3","33","21","2","3","9","-1","-1","-1","-1"
"41","9","86","58","2","4","1","-1","-1","-1","-1"
"18","4","47","19","4","2","3","6","7","-1","-1"
"81","18","158","79","3","1","10","6","-1","-1","-1"
"15","2","52","18","4","1","9","8","3","-1","-1"
"2","7","85","63","4","3","1","10","6","-1","-1"
"12","2","23","15","2","3","2","-1","-1","-1","-1"
"36","1","79","44","2","3","10","-1","-1","-1","-1"
"33","4","60","36","3","2","8","6","-1","-1","-1"
"130","17","180","49","3","5","8","3","-1","-1","-1"
"20","3","50","27","4","1","5","1","4","-1","-1"
"20","1","39","27","2","2","5","-1","-1","-1","-1"
"26","8","64","32","3","1","1","3","-1","-1","-1"
"39","40","67","64","3","3","10","3","-1","-1","-1"
"79","26","125","72","2","1","9","-1","-1","-1","-1"
"55","18","70","48","1","4","-1","-1","-1","-1","-1"
"91","20","146","86","2","9","7","-1","-1","-1","-1"
"16","4","28","23","1","4","-1","-1","-1","-1","-1"
"48","6","87","66","2","4","1","-1","-1","-1","-1"
"13","1","20","14","1","2","-1","-1","-1","-1","-1"
"45","12","58","37","1","3","-1","-1","-1","-1","-1"
"33","5","56","40","1","6","-1","-1","-1","-1","-1"
"35","8","60","37","3","1","3","8","-1","-1","-1"
"49","8","116","56","2","3","7","-1","-1","-1","-1"
"38","5","64","42","2","7","1","-1","-1","-1","-1"
"134","86","203","129","3","4","1","10","-1","-1","-1"
"34","4","66","46","2","1","1","-1","-1","-1","-1"
"62","13","94","68","2","1","5","-1","-1","-1","-1"
"74","19","151","64","3","6","6","10","-1","-1","-1"
